;0
0;1.050145816060907
1;1.0500358892270154
2;1.050039008084913
3;1.0500384496090405
4;1.0500376467688775
5;1.050037374346202
6;1.050035409339953
7;1.0500377968973007
8;1.050039988461403
9;1.0500402273856086
10;1.0500393538820567
11;1.0500413395050707
12;1.0500422117892974
13;1.0500406874193033
14;1.0500399363744526
15;1.0500413817572078
16;1.0500409364552208
17;1.0500413025116695
18;1.0500409881306396
19;1.0500414525322606
20;1.0500408004669741
21;1.050039396791931
22;1.0500393967391082
23;1.0500418606289452
24;1.0500418606290383
25;1.0500404905572498
26;1.0500396878446427
27;1.0500406925502823
28;1.0500394811556857
29;1.050040851984931
30;1.0500418606288924
31;1.0500419077168526
32;1.0500423718715277
33;1.0500414105272586
34;1.050040579903812
35;1.0500401810660849
36;1.0500408475685816
37;1.050040899085524
38;1.0500410116491752
39;1.050040870915624
40;1.0500403592396306
41;1.0500126522406166
42;1.050037221902869
43;1.0500083193354517
44;1.0500348634475543
45;1.0500386446086578
46;1.0500401999471267
47;1.0500240270985257
48;1.050006448226844
49;1.0500346673248269
50;1.0500345402708904
51;1.0500075817245136
52;1.0500366296863486
53;1.0500388325902872
54;1.0500414689619206
55;1.0500292466972698
56;1.0500288826222155
57;1.0500328784056143
58;1.0500332140674036
59;1.0500320963611907
60;1.0500329000331652
61;1.0500466519397604
62;1.0499980681514784
63;1.0500499727356694
64;1.0500501013322643
65;1.0500507769791378
66;1.0500510816344588
67;1.0500509227021348
68;1.0500514608947586
69;1.0500529048534792
70;1.0500526898980316
71;1.0500531752767976
72;1.0500542173953673
73;1.0500524370894457
74;1.050054488171122
75;1.0500546797400567
76;1.0500541238798555
77;1.0500527870228387
78;1.0500525536163359
79;1.0500546237808062
80;1.0500386230947392
81;1.0500521189817715
82;1.050051408082955
83;1.0500516699547553
84;1.0500516418508616
85;1.050048306189743
86;1.0500114017012658
87;1.050033020252229
88;1.0500325860394495
89;1.0500248134493846
90;1.0500150757872593
91;1.0500147184193198
92;1.0500028284443543
93;1.0500182195564318
94;1.0500118477331999
95;1.0499944855002272
96;1.0499909716038285
97;1.0499840341854256
98;1.0499650304975054
99;1.049964563346237
100;1.0499551139236203
101;1.0499503162921673
102;1.0499500827523773
103;1.0499484580550793
104;1.0499490621347662
105;1.0499519181555363
106;1.0499482482178486
107;1.0499280358600902
108;1.0499158827801225
109;1.0498823785638247
110;1.0499135427214186
111;1.0498905964790182
112;1.04989131202391
113;1.0498915324005882
114;1.049881839570419
115;1.0498965584923778
116;1.0499067801576558
117;1.0498860403227523
118;1.0498976218119063
119;1.049892870916509
120;1.0498956551244478
121;1.0499014818964632
122;1.0498953648908085
123;1.0499063386633216
124;1.0499097899320138
125;1.049911798135916
126;1.0499150957875143
127;1.0499125872836743
128;1.049914061222158
129;1.049914755935969
130;1.0499125032936216
131;1.0499084156516134
132;1.0499020508715438
133;1.0498935929535758
134;1.049910535881119
135;1.0499121504795392
136;1.049911498974659
137;1.049912284118949
138;1.0499094365969137
139;1.049909269849437
140;1.0499093123995298
141;1.0499105914230078
142;1.0499160286415525
143;1.0500843297188869
